[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,46585514.50,04/05/2017,2:41 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.48,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,46586122.96,5.018044,1525.91595458984,4.82993373621704E-5,2.7820951202279E-7,1,0.999253354069792,40.0298881530762,1.99483277078625,15.5500008817762,0.000523778418929111,6.71540197340836E-5,0.25,-2.26388180448704E-6,4.80188439154765E-5,-2.14172981744184E-6,5.0159688,5.0201192,1500.91772460938,1550.91418457031,52.6270481998133,18.7073863888969,1.6670766,0,0,0,4449,4.9429,1525.91595458984,,,,,,,,,,,,,,,,,12.252253,,,,,,5.018044,,,,
,46586123.96,5.0180137,1575.77972412109,4.82490447539739E-5,2.32044341488768E-7,1,0.999253354069792,40.0298881530762,1.99486168864843,15.5500008817762,0.000523002772403904,6.8434981895019E-5,0.25,-2.13610024877996E-6,4.7968595051661E-5,-2.0147364986374E-6,5.0159082,5.0201192,1550.91418457031,1600.64526367187,52.4949529800632,18.7071810496155,1.6670766,0,0,0,4449,4.941,1575.77972412109,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0180137,,,,
,46586125.015,5.0156941,1628.17047119141,4.8588709301878E-5,2.51356478731423E-7,1,0.999253354069792,40.0298881530762,1.99486968400093,15.5500008817762,0.00052661303685526,6.93369994725828E-5,0.25,-2.11218326803515E-6,4.83062338120765E-5,-1.99010962382345E-6,5.01548,5.0159082,1600.64526367187,1655.69567871094,52.690360109871,18.7044536262634,1.6754035,0,0,0,4449,4.9419,1628.17047119141,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0156941,,,,
,46586126.105,5.01654835,1682.95904541016,4.84330282317823E-5,2.95338128368127E-7,1,0.999253354069792,40.0298881530762,1.99486950832324,15.5500008817762,0.000524657970019559,7.06371525567766E-5,0.25,-1.96397859908212E-6,4.81511766372247E-5,-1.8430420682714E-6,5.01548,5.0176167,1655.69567871094,1710.22241210938,52.5113671789671,18.7094347833522,1.69230885,0,0,0,4449,4.94365,1682.95904541016,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01654835,,,,
,46586127.18,5.0170624,1737.73889160156,4.84605856794561E-5,3.73544144472986E-7,1,0.999253354069792,40.0298881530762,1.99486129498848,15.5500008817762,0.000525281470568556,6.88230084315927E-5,0.25,-2.13757210074321E-6,4.8179001492035E-5,-2.01545663290026E-6,5.0165081,5.0176167,1710.22241210938,1765.25537109375,52.3097070210055,18.7069661790787,1.69230885,0,0,0,4449,4.9425,1737.73889160156,,,,,,,,,,,,,,,,,13.378378,,,,,,5.0170624,,,,
,46586128.185,5.01595975,1787.57977294922,4.8785073801371E-5,2.63109761360093E-7,1,0.999253354069792,40.0298881530762,1.99495719060194,15.5500008817762,0.000528867461403093,6.90349961024995E-5,0.25,-2.17540216169146E-6,4.85016927890353E-5,-2.05224654552214E-6,5.0154114,5.0165081,1765.25537109375,1809.90417480469,52.0892877785824,18.7061221389829,1.69230885,0,0,0,4449,4.94175,1787.57977294922,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01595975,,,,
,46586129.275,5.0159147,1840.04565429687,4.84866641048083E-5,2.47232494466068E-7,1,0.999253354069792,40.0298881530762,1.9948705245499,15.5500008817762,0.000525064054098624,7.17169400925878E-5,0.25,-1.87332148328479E-6,4.82044004279724E-5,-1.75253769712639E-6,5.0154114,5.016418,1809.90417480469,1870.18713378906,52.6106340009094,18.705784737445,1.7092142,0,0,0,4449,4.94315,1840.04565429687,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0159147,,,,
,46586130.44,5.01633835,1897.42272949219,4.83808659814942E-5,3.10072703860276E-7,1,0.999253354069792,40.0298881530762,1.9948058882876,15.5500008817762,0.000524602294004467,6.75874270266328E-5,0.25,-2.23852931949054E-6,4.81000950546262E-5,-2.11573062415856E-6,5.0162587,5.016418,1870.18713378906,1924.65832519531,52.9623668345633,18.7059922018419,1.69230885,0,0,0,4449,4.9421,1897.42272949219,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01633835,,,,
,46586131.375,5.0162587,1944.61224365234,4.85795462691879E-5,3.08791473946362E-7,1,0.999253354069792,40.0298881530762,1.99494092804198,15.5500008817762,0.000525828809592388,7.33292973581386E-5,0.25,-1.74019585159186E-6,4.82965062876754E-5,-1.61981110942191E-6,5.0162587,5.0162587,1924.65832519531,1964.56616210938,52.0736552081978,18.7067176683983,1.69230885,0,0,0,4449,4.94145,1944.61224365234,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0162587,,,,
,46586132.22,5.017122,1987.01928710938,4.8422868313401E-5,3.190822600606E-7,1,0.999253354069792,40.0298881530762,1.99493825132303,15.5500008817762,0.000524491039042058,7.10578835445352E-5,0.25,-1.92383802754037E-6,4.81412004811892E-5,-1.80265138409112E-6,5.0162587,5.0179853,1964.56616210938,2009.47241210938,52.4527450400248,18.7046544069138,1.69230885,0,0,0,4449,4.943,1987.01928710938,,,,,,,,,,,,,,,,,13.003003,,,,,,5.017122,,,,
