#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.74
#Sigma Scalefactor: 0.0
#B / T	M_scaled / emug-1	sM_scaled / emug-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-0.0698	-15.1145791892	-0.00675675675676	-11.1847886	0.005	-11.09705	0.005
-0.0673	-14.8328190541	-0.00675675675676	-10.9762861	0.005	-10.89169	0.005
-0.065	-14.5678986486	-0.00675675675676	-10.780245	0.005	-10.69854	0.005
-0.0625	-14.2699898649	-0.00675675675676	-10.5597925	0.005	-10.48123	0.005
-0.06	-13.9577972973	-0.00675675675676	-10.32877	0.005	-10.25335	0.005
-0.0573	-13.6087231081	-0.00675675675676	-10.0704551	0.005	-9.998429	0.005
-0.055	-13.3011405405	-0.00675675675676	-9.842844	0.005	-9.773709	0.005
-0.0523	-12.9245609459	-0.00675675675676	-9.5641751	0.005	-9.498434	0.005
-0.0499	-12.5893125676	-0.00675675675676	-9.3160913	0.005	-9.253367	0.005
-0.0475	-12.2161087838	-0.00675675675676	-9.0399205	0.005	-8.980213	0.005
-0.045	-11.8260972973	-0.00675675675676	-8.751312	0.005	-8.694747	0.005
-0.0425	-11.4152290541	-0.00675675675676	-8.4472695	0.005	-8.393847	0.005
-0.04	-10.9834418919	-0.00675675675676	-8.127747	0.005	-8.077467	0.005
-0.0372	-10.4999424324	-0.00675675675676	-7.7699574	0.005	-7.723197	0.005
-0.0349	-10.0661706757	-0.00675675675676	-7.4489663	0.005	-7.405097	0.005
-0.0324	-9.57409027027	-0.00675675675676	-7.0848268	0.005	-7.0441	0.005
-0.0299	-9.05360716216	-0.00675675675676	-6.6996693	0.005	-6.662085	0.005
-0.0275	-8.51004932432	-0.00675675675676	-6.2974365	0.005	-6.262869	0.005
-0.0249	-7.93058418919	-0.00675675675676	-5.8686323	0.005	-5.837333	0.005
-0.0224	-7.3213727027	-0.00675675675676	-5.4178158	0.005	-5.389659	0.005
-0.0199	-6.67990040541	-0.00675675675676	-4.9431263	0.005	-4.918112	0.005
-0.0174	-5.99619432432	-0.00675675675676	-4.4371838	0.005	-4.415312	0.005
-0.0149	-5.26836391892	-0.00675675675676	-3.8985893	0.005	-3.87986	0.005
-0.0124	-4.49686189189	-0.00675675675676	-3.3276778	0.005	-3.312091	0.005
-0.0099	-3.68552202703	-0.00675675675676	-2.7272863	0.005	-2.714842	0.005
-0.0074	-2.81867135135	-0.00675675675676	-2.0858168	0.005	-2.076515	0.005
-0.0049	-1.90768283784	-0.00675675675676	-1.4116853	0.005	-1.405526	0.005
-0.0037	-1.46010121622	-0.00675675675676	-1.0804749	0.005	-1.075824	0.005
-0.0028	-1.07803648649	-0.00675675675676	-0.797747	0.005	-0.7942274	0.005
-0.0017	-0.695635	-0.00675675675676	-0.5147699	0.005	-0.512633	0.005
-0.0007	-0.311976216216	-0.00675675675676	-0.2308624	0.005	-0.2299825	0.005
0.0	0.0360607837838	0.00675675675676	0.02668498	0.005	0.02668498	0.005
0.001	0.418295675676	0.00675675675676	0.3095388	0.005	0.3082818	0.005
