#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#BG Scalefactor: 1
#BG Sigma Slope: 0.0
#B / T	M_sub / memu	sM_sub / memu	M_extracted / memu	sM_extracted / memu	M_raw / memu	sM_raw / memu
-0.0497	-9.2578979	0.005	-9.195425	0.005	-9.195425	0.005
-0.0522	-9.5285754	0.005	-9.46296	0.005	-9.46296	0.005
-0.0547	-9.7834879	0.005	-9.71473	0.005	-9.71473	0.005
-0.0572	-10.0278574	0.005	-9.955957	0.005	-9.955957	0.005
-0.0597	-10.2694029	0.005	-10.19436	0.005	-10.19436	0.005
-0.0623	-10.5002011	0.005	-10.42189	0.005	-10.42189	0.005
-0.0648	-10.7259236	0.005	-10.64447	0.005	-10.64447	0.005
-0.0673	-10.9397661	0.005	-10.85517	0.005	-10.85517	0.005
-0.0698	-11.1458586	0.005	-11.05812	0.005	-11.05812	0.005
-0.0723	-11.3480411	0.005	-11.25716	0.005	-11.25716	0.005
-0.0748	-11.5436436	0.005	-11.44962	0.005	-11.44962	0.005
-0.0773	-11.7328661	0.005	-11.6357	0.005	-11.6357	0.005
-0.0798	-11.9157786	0.005	-11.81547	0.005	-11.81547	0.005
-0.0823	-12.0959011	0.005	-11.99245	0.005	-11.99245	0.005
-0.0848	-12.2672236	0.005	-12.16063	0.005	-12.16063	0.005
-0.0873	-12.4364261	0.005	-12.32669	0.005	-12.32669	0.005
-0.0898	-12.6000286	0.005	-12.48715	0.005	-12.48715	0.005
-0.0923	-12.7608111	0.005	-12.64479	0.005	-12.64479	0.005
-0.0948	-12.9142236	0.005	-12.79506	0.005	-12.79506	0.005
-0.0973	-13.0648461	0.005	-12.94254	0.005	-12.94254	0.005
-0.0998	-13.2133386	0.005	-13.08789	0.005	-13.08789	0.005
-0.1497	-15.5538429	0.005	-15.36567	0.005	-15.36567	0.005
