#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd144_dry-Hys-00.VHD
#Save data to file: dd144_dry.xye
#Extraction performed at: Wed Oct 12 13:39:32 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14998.0	1.0
#15247.0	1.000156
#15497.0	1.000302
#15747.0	1.000527
#15997.0	1.000751
#16247.0	1.001191
#16497.0	1.001494
#16746.0	1.001865
#16996.0	1.002237
#17247.0	1.002688
#17496.0	1.003286
#17746.0	1.003738
#17996.0	1.004259
#18245.0	1.005007
#18495.0	1.005686
#18745.0	1.006367
#18995.0	1.007118

#Substracted file: dd144_dry.xye
#Using Slope: -1.257
#Rescaled file: dd144_dry_BGLinSub.xy
#Rescale Factor: 0.13962264150943396
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kAm-1	sM_scaled / kAm-1	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
0.1001	94.8476232568	0.0358108108108	13.2428757	0.005	13.11705	0.005
0.0975	93.7630699324	0.0358108108108	13.0914475	0.005	12.96889	0.005
0.095	92.6716817568	0.0358108108108	12.939065	0.005	12.81965	0.005
0.0926	91.5738168378	0.0358108108108	12.7857782	0.005	12.66938	0.005
0.09	90.4364067568	0.0358108108108	12.62697	0.005	12.51384	0.005
0.0875	89.2595739865	0.0358108108108	12.4626575	0.005	12.35267	0.005
0.085	88.0827412162	0.0358108108108	12.298345	0.005	12.1915	0.005
0.0825	86.8382260135	0.0358108108108	12.1245825	0.005	12.02088	0.005
0.08	85.5758054054	0.0358108108108	11.94832	0.005	11.84776	0.005
0.0775	84.2833037162	0.0358108108108	11.7678575	0.005	11.67044	0.005
0.075	82.9028506757	0.0358108108108	11.575115	0.005	11.48084	0.005
0.0725	81.5274111486	0.0358108108108	11.3830725	0.005	11.29194	0.005
0.07	80.0991148649	0.0358108108108	11.18365	0.005	11.09566	0.005
0.0675	78.6006293919	0.0358108108108	10.9744275	0.005	10.88958	0.005
0.065	77.0616060811	0.0358108108108	10.759545	0.005	10.67784	0.005
0.0625	75.4925733108	0.0358108108108	10.5404725	0.005	10.46191	0.005
0.0601	73.8614137973	0.0358108108108	10.3127257	0.005	10.23718	0.005
0.0576	72.1593080541	0.0358108108108	10.0750732	0.005	10.00267	0.005
0.0551	70.3812547432	0.0358108108108	9.8268167	0.005	9.757556	0.005
0.0526	68.558309	0.0358108108108	9.5722922	0.005	9.506174	0.005
0.0501	66.6321708243	0.0358108108108	9.3033597	0.005	9.240384	0.005
0.0476	64.6631599459	0.0358108108108	9.0284412	0.005	8.968608	0.005
0.0451	62.6062263649	0.0358108108108	8.7412467	0.005	8.684556	0.005
0.0426	60.4487933243	0.0358108108108	8.4400202	0.005	8.386472	0.005
0.0401	58.2081646081	0.0358108108108	8.1271777	0.005	8.076772	0.005
0.0376	55.834376973	0.0358108108108	7.7957432	0.005	7.74848	0.005
0.0351	53.3676101486	0.0358108108108	7.4513267	0.005	7.407206	0.005
0.0326	50.7596699459	0.0358108108108	7.0871992	0.005	7.046221	0.005
0.0301	48.0338477162	0.0358108108108	6.7066127	0.005	6.668777	0.005
0.0276	45.1973987297	0.0358108108108	6.3105802	0.005	6.275887	0.005
0.0251	42.1621352838	0.0358108108108	5.8867887	0.005	5.855238	0.005
0.0226	38.9358354865	0.0358108108108	5.4363242	0.005	5.407916	0.005
0.0201	35.5486019054	0.0358108108108	4.9633897	0.005	4.938124	0.005
0.0176	31.9425571081	0.0358108108108	4.4599042	0.005	4.437781	0.005
0.0151	28.1428975811	0.0358108108108	3.9293857	0.005	3.910405	0.005
0.0126	24.114321027	0.0358108108108	3.3669052	0.005	3.351067	0.005
0.0101	19.8091919054	0.0358108108108	2.7658117	0.005	2.753116	0.005
0.0076	15.272681973	0.0358108108108	2.1324122	0.005	2.122859	0.005
0.0051	10.4947283919	0.0358108108108	1.4653017	0.005	1.458891	0.005
0.0041	8.52928068919	0.0358108108108	1.1908807	0.005	1.185727	0.005
0.0031	6.51600693243	0.0358108108108	0.9097821	0.005	0.9058854	0.005
0.0021	4.48261967568	0.0358108108108	0.6258752	0.005	0.6232355	0.005
0.0011	2.43413601351	0.0358108108108	0.3398605	0.005	0.3384778	0.005
0.0	0.407392736486	0.0358108108108	0.05688125	0.005	0.05688125	0.005
-0.0007	-1.61323763514	-0.0358108108108	-0.2252445	0.005	-0.2243646	0.005
-0.0017	-3.64662918919	-0.0358108108108	-0.509152	0.005	-0.5070151	0.005
-0.0027	-5.65988790541	-0.0358108108108	-0.7902485	0.005	-0.7868546	0.005
-0.0037	-7.66309739189	-0.0358108108108	-1.0699419	0.005	-1.065291	0.005
-0.0047	-9.65122766216	-0.0358108108108	-1.3475299	0.005	-1.341622	0.005
-0.0072	-14.4618693514	-0.0358108108108	-2.0192044	0.005	-2.010154	0.005
-0.0097	-19.0134269865	-0.0358108108108	-2.6547049	0.005	-2.642512	0.005
-0.0122	-23.3688416486	-0.0358108108108	-3.2628194	0.005	-3.247484	0.005
-0.0147	-27.4427188784	-0.0358108108108	-3.8316249	0.005	-3.813147	0.005
-0.0172	-31.3102757027	-0.0358108108108	-4.3716234	0.005	-4.350003	0.005
-0.0197	-34.9062576622	-0.0358108108108	-4.8737039	0.005	-4.848941	0.005
-0.0222	-38.3211515135	-0.0358108108108	-5.3505004	0.005	-5.322595	0.005
-0.0247	-41.5751187432	-0.0358108108108	-5.8048279	0.005	-5.77378	0.005
-0.0272	-44.6378992162	-0.0358108108108	-6.2324614	0.005	-6.198271	0.005
-0.0297	-47.5248056351	-0.0358108108108	-6.6355389	0.005	-6.598206	0.005
-0.0322	-50.2657257027	-0.0358108108108	-7.0182334	0.005	-6.977758	0.005
-0.0347	-52.9037111757	-0.0358108108108	-7.3865559	0.005	-7.342938	0.005
-0.0372	-55.3956243514	-0.0358108108108	-7.7344834	0.005	-7.687723	0.005
-0.0397	-57.7645130676	-0.0358108108108	-8.0652339	0.005	-8.015331	0.005
-0.0422	-60.0478425946	-0.0358108108108	-8.3840384	0.005	-8.330993	0.005
-0.0447	-62.2406280676	-0.0358108108108	-8.6902009	0.005	-8.634013	0.005
-0.0472	-64.3102243514	-0.0358108108108	-8.9791634	0.005	-8.919833	0.005
-0.0497	-66.3065660405	-0.0358108108108	-9.2578979	0.005	-9.195425	0.005
-0.0522	-68.2452021892	-0.0358108108108	-9.5285754	0.005	-9.46296	0.005
-0.0547	-70.0709268514	-0.0358108108108	-9.7834879	0.005	-9.71473	0.005
-0.0572	-71.8211408378	-0.0358108108108	-10.0278574	0.005	-9.955957	0.005
-0.0597	-73.5511288784	-0.0358108108108	-10.2694029	0.005	-10.19436	0.005
-0.0623	-75.2041430135	-0.0358108108108	-10.5002011	0.005	-10.42189	0.005
-0.0648	-76.8208041622	-0.0358108108108	-10.7259236	0.005	-10.64447	0.005
-0.0673	-78.3523788243	-0.0358108108108	-10.9397661	0.005	-10.85517	0.005
-0.0698	-79.8284467297	-0.0358108108108	-11.1458586	0.005	-11.05812	0.005
-0.0723	-81.2765105811	-0.0358108108108	-11.3480411	0.005	-11.25716	0.005
