#PNR generated at 2019-01-16 15:38:59.784524
#[[Parameters]]
#i0	1.0
#bg	1.3999999999999998e-07
#roughnessSubstrate	20.041031505537347
#roughnessSpacer	23.527612662946385
#roughnessShellCube1	14.57008761856568
#roughnessCubeShell1	22.31642583659761
#roughnessShellPMMA	0.0
#roughnessPMMAShell	0.0
#roughnessShellCube2	14.57008761856568
#roughnessCubeShell2	22.31642583659761
#roughnessShellAir	0
#a	93.84
#packingDensity1	0.506358957399347
#packingDensity2	0.506358957399347
#sldSubstrate	2.079e-06
#sldCore	6.194e-06
#sldSpacer	4.186e-06
#sldShellLower	7.8e-08
#sldShellTop	7.8e-08
#sldPMMA	1.059e-06
#thicknessSpacer	24.25716072643032
#thicknessShell1Lower	36.60100058114454
#thicknessShell1Top	39.6
#thicknessPMMA	124.0
#thicknessShell2Lower	36.60100058114454
#thicknessShell2Top	0
#magSldCore1	9.199999999999997e-07
#magSldCore2	-9.200000000000001e-07
#polarization_p	1
#polarizationEfficiency	0.98
#gamma	0
#dTheta	0.0003
#wavelength	5
#dWavelength	0.025
#polarization_m	-1
#
#[[Data]]
#z	rho_nuc	rho_mag
49.3518659613039	1.2835720880412525e-06	1.0008529826145454e-07
52.10805044922603	1.368777990288178e-06	1.2767404248032986e-07
54.86423493714818	1.4878742018802884e-06	1.5857123191127633e-07
57.62041942507031	1.6351565596265118e-06	1.9196063621356155e-07
60.376603912992465	1.8029597283520404e-06	2.267782520242739e-07
63.13278840091459	1.9824006078661188e-06	2.6181198540889397e-07
65.88897288883672	2.1642867740864264e-06	2.958264886594321e-07
68.64515737675885	2.3400439539930908e-06	3.2769190099116016e-07
71.401341864681	2.5025116825919206e-06	3.56494289235384e-07
74.15752635260316	2.64648651369318e-06	3.8160991316539143e-07
76.91371084052531	2.7689486274736203e-06	4.0273374183782975e-07
79.66989532844741	2.8689741688645634e-06	4.198624935081158e-07
82.42607981636957	2.9473942405617876e-06	4.3324117218652936e-07
85.18226430429172	3.0062984225344802e-06	4.4328756193111636e-07
87.93844879221382	3.048490234206181e-06	4.50510544562604e-07
90.69463328013597	3.0769868697712265e-06	4.5543583790068533e-07
93.45081776805813	3.0946247372493396e-06	4.585481426979278e-07
96.20700225598023	3.1037969271197194e-06	4.602533998446495e-07
98.96318674390238	3.1063182495724298e-06	4.608603199642144e-07
101.71937123182454	3.1033935133063776e-06	4.60577391756127e-07
104.4755557197467	3.0956564896826907e-06	4.5952038175915114e-07
107.23174020766879	3.0832483666474824e-06	4.5772558070265456e-07
109.98792469559095	3.0659116466435556e-06	4.551651571990074e-07
112.7441091835131	3.0430845389855056e-06	4.5176236995111094e-07
115.5002936714352	3.0139890869665864e-06	4.474056363946466e-07
118.25647815935736	2.9777120392854828e-06	4.4196133216124213e-07
121.01266264727951	2.933280482556327e-06	4.3528565190025926e-07
123.76884713520161	2.8797349148897843e-06	4.2723596209902516e-07
126.52503162312377	2.816201512284341e-06	4.17681934999513e-07
129.28121611104592	2.741963598193642e-06	4.065164875984315e-07
132.03740059896808	2.6565304147760265e-06	3.9366625845168877e-07
134.79358508689018	2.5596996714109745e-06	3.791011072042179e-07
137.54976957481233	2.451609302353244e-06	3.6284196140972313e-07
140.3059540627345	2.3327735541117037e-06	3.449662855002838e-07
143.06213855065658	2.204098987049287e-06	3.256105141958228e-07
145.81832303857874	2.0668771626886865e-06	3.049689693488626e-07
148.5745075265009	1.922752560989944e-06	2.8328904449038747e-07
151.330692014423	1.7736664199725799e-06	2.608627634426066e-07
154.08687650234515	1.621779450137463e-06	2.3801515860230535e-07
156.8430609902673	1.46937846223494e-06	2.1509022778726072e-07
159.59924547818946	1.3187735878700235e-06	1.924354750299193e-07
162.35542996611156	1.1721937505450318e-06	1.7038618760420556e-07
165.1116144540337	1.0316882284847035e-06	1.4925062906151815e-07
167.86779894195587	8.990415148254851e-07	1.2929723232216156e-07
170.62398342987797	7.757073102877012e-07	1.1074467065726903e-07
173.38016791780012	6.627655590207645e-07	9.375539487782215e-08
176.13635240572228	5.609042074881888e-07	7.843288945392903e-08
178.89253689364443	4.7042510470570824e-07	6.482256008042931e-08
181.64872138156653	3.912714323020927e-07	5.2915859858122766e-08
184.4049058694887	3.230724672991226e-07	4.2657022745778506e-08
187.16109035741084	2.652004758373151e-07	3.395162180820386e-08
189.91727484533294	2.1683416110061811e-07	2.6676113378998228e-08
192.6734593332551	1.7702330723974602e-07	2.068756113080947e-08
195.42964382117725	1.1642539688742923e-06	1.5832840314533968e-08
198.18582830909935	1.1384865898913077e-06	1.1956779381904575e-08
200.9420127970215	1.1182246745070181e-06	8.908878441194208e-09
203.69819728494366	1.1025328059002636e-06	6.548427310038703e-09
206.45438177286582	1.090563947235081e-06	4.7480103754506564e-09
209.2105662607879	1.0815728080472426e-06	3.3955172340511193e-09
211.96675074871007	1.07492067991448e-06	2.394870098319079e-09
214.72293523663222	1.0700734860452448e-06	1.6657304057594435e-09
217.47911972455432	1.066594889434726e-06	1.1424621124832288e-09
220.23530421247648	1.064136211523491e-06	7.726152062805635e-10
222.99148870039863	1.0624246871191926e-06	5.151589518733575e-10
225.74767318832073	1.0612512807685655e-06	3.3864916727935673e-10
228.5038576762429	1.0604589661851522e-06	2.194651553859206e-10
231.26004216416504	1.0599320631054238e-06	1.4020569931167422e-10
234.0162266520872	1.0595869609345604e-06	8.829366576119827e-11
236.7724111400093	1.0593643489676348e-06	5.480723515736375e-11
239.52859562793145	1.0592229216909796e-06	3.353302087877887e-11
242.2847801158536	1.0591344301617055e-06	2.022167245552345e-11
245.0409646037757	1.0590798978301804e-06	1.2018640227675442e-11
247.79714909169786	1.0590468007053371e-06	7.040001365143327e-12
250.55333357962002	1.0590270168791822e-06	4.064016771844701e-12
253.30951806754211	1.0590153698802528e-06	2.3120145455178206e-12
256.06570255546427	1.0590086168143121e-06	1.2961798076818988e-12
258.8218870433864	1.059004760539888e-06	7.160848326190732e-13
261.5780715313086	1.0590025918609104e-06	3.898109144304259e-13
264.3342560192307	1.0590013910737071e-06	2.0901455694220574e-13
267.09044050715283	1.0590007374990288e-06	1.1015854335575523e-13
269.846624995075	1.0590003909879622e-06	5.63455186397257e-14
272.6028094829971	1.059000221539549e-06	2.577675374224998e-14
275.35899397091924	1.059000173424158e-06	3.799086376470318e-15
278.1151784588414	1.0590002607697397e-06	-2.4335704124406385e-14
280.87136294676355	1.0590006062579637e-06	-8.388655636140154e-14
283.62754743468565	1.059001560190203e-06	-2.3115623153550973e-13
286.3837319226078	1.0590039855757659e-06	-5.978458775969509e-13
289.13991641052996	1.059009885615304e-06	-1.4862537988692223e-12
291.89610089845206	1.059023712535594e-06	-3.566594990523007e-12
294.6522853863742	1.0590549705031002e-06	-8.268777478565247e-12
297.4084698742964	1.0591231528599499e-06	-1.8525208191368024e-11
300.16465436221847	1.0592666626769044e-06	-4.0112730581113053e-11
302.9208388501406	1.0595581328943121e-06	-8.395719007821336e-11
305.6770233380628	1.0601293626039163e-06	-1.6988449275972108e-10
308.43320782598494	1.061209631130893e-06	-3.323840131458401e-10
311.18939231390704	1.0631809511771538e-06	-6.289200582580592e-10
313.9455768018292	1.0666522111155925e-06	-1.1510847324403883e-09
316.70176128975135	1.0725504425292242e-06	-2.0383268681783227e-09
319.45794577767344	6.271721523425705e-08	-3.4930541582893586e-09
322.2141302655956	7.801771065661032e-08	-5.7946329334419894e-09
324.9703147535177	1.0137673216789625e-07	-9.308416417825433e-09
327.72649924143985	1.3578863992376925e-07	-1.4484831580586266e-08
330.482683729362	1.8470654438542445e-07	-2.1843312958077818e-08
333.23886821728416	2.518080016605653e-07	-3.193705734871471e-08
335.9950527052063	3.406260176243599e-07	-4.5297517565636474e-08
338.7512371931285	4.540683493199153e-07	-6.236209329485694e-08
