[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,15643993.59,04/16/2018,7:07 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15644071.685,5.00734,2165.72241210938,8.15975852965528E-5,2.28067662829783E-7,1,0.999253354069792,40.0298881530762,2.00565164136037,15.6900031119585,0.000886445283039109,0.00013085233022499,0.25,-2.27055241856849E-6,8.11209548986154E-5,-2.07155776142515E-6,5.00734,5.00734,2158.32470703125,2173.1201171875,52.544977205294,18.6712692058246,3.1281246,0,0,0,4449,4.95395,2165.72241210938,,,,,,,,,,,,,,,,,13.378378,,,,,,5.00734,,,,
,15644072.465,5.00718765,2205.615234375,8.25956094485639E-5,2.21181040208538E-7,1,0.999253354069792,40.0298881530762,2.00557237991183,15.6900031119585,0.000897125231079951,0.000133182158275447,0.25,-2.23052548261892E-6,8.21130435408443E-5,-2.02937851048E-6,5.0070353,5.00734,2173.1201171875,2238.1103515625,52.595783059044,18.6706000629429,3.08217645,0,0,0,4449,4.95355,2205.615234375,,,,,,,,,,,,,,,,,13.378378,,,,,,5.00718765,,,,
,15644073.7,5.0048974,2268.04895019531,8.34291422762921E-5,2.48235256000227E-7,1,0.999253354069792,40.0298881530762,2.00549093763116,15.6900031119585,0.000905880179075148,0.000136024215798823,0.25,-2.11418311218689E-6,8.2941467049539E-5,-1.91163737290258E-6,5.0027595,5.0070353,2238.1103515625,2297.98754882813,52.8263634722171,18.6809994556074,3.06655185,0,0,0,4449,4.9521,2268.04895019531,,,,,,,,,,,,,,,,,13.378378,,,,,,5.0048974,,,,
,15644074.97,5.00313405,2330.400390625,8.43700703470156E-5,1.91518528339132E-7,1,0.999253354069792,40.0298881530762,2.00558743934762,15.6900031119585,0.000916416739295892,0.000135989410799946,0.25,-2.28394101214526E-6,8.38773056499316E-5,-2.07805819776097E-6,5.0027595,5.0035086,2297.98754882813,2362.81323242187,52.4668143533709,18.6711179209926,3.09703065,0,0,0,4449,4.95155,2330.400390625,,,,,,,,,,,,,,,,,13.378378,,,,,,5.00313405,,,,
,15644076.29,5.00317645,2395.34631347656,8.57529769820091E-5,2.40047988739139E-7,1,0.999253354069792,40.0298881530762,2.00556959294892,15.6900031119585,0.000931217379080126,0.000139428813733192,0.25,-2.20952084637689E-6,8.52519633192182E-5,-2.00071983697788E-6,5.0028443,5.0035086,2362.81323242187,2427.87939453125,52.7599250480825,18.6734812527086,3.09703065,0,0,0,4449,4.9518,2395.34631347656,,,,,,,,,,,,,,,,,13.003003,,,,,,5.00317645,,,,
,15644078.655,5.0045509,2514.76196289062,8.72401623248596E-5,2.28144184171789E-7,1,0.999253354069792,40.0298881530762,2.00545742999613,15.6900031119585,0.000947566881068184,0.000140432630019424,0.25,-2.37839450021967E-6,8.67309149995219E-5,-2.16481811121895E-6,5.0045509,5.0045509,2507.29248046875,2522.2314453125,52.6927049954287,18.6753282172676,3.09703065,0,0,0,4449,4.95365,2514.76196289062,,,,,,,,,,,,,,,,,13.378378,,,,,,5.0045509,,,,
,15644079.43,5.004616,2552.07849121094,8.80296438521553E-5,2.01061977115729E-7,1,0.999253354069792,40.0298881530762,2.00562350123932,15.6900031119585,0.000956109365817601,0.00014232569727138,0.25,-2.34351452767235E-6,8.75157089412425E-5,-2.1282163669023E-6,5.0045509,5.0046811,2522.2314453125,2581.92553710938,52.3988126721978,18.6763147034176,3.1125,0,0,0,4449,4.95375,2552.07849121094,,,,,,,,,,,,,,,,,13.003003,,,,,,5.004616,,,,
,15644080.715,5.00558755,2616.90539550781,8.91328051396996E-5,2.72041143482741E-7,1,0.999253354069792,40.0298881530762,2.00555690973049,15.6900031119585,0.000967996155736747,0.000144477164019288,0.25,-2.33866646889095E-6,8.86124394696583E-5,-2.12065706511565E-6,5.0046811,5.006494,2581.92553710938,2651.88525390625,52.6129788864671,18.6760680154332,3.06655185,0,0,0,4449,4.9549,2616.90539550781,,,,,,,,,,,,,,,,,13.003003,,,,,,5.00558755,,,,
,15644082.02,5.0068495,2681.87548828125,9.00606364132287E-5,2.71352979699733E-7,1,0.999253354069792,40.0298881530762,2.00552884208545,15.6900031119585,0.000977501996232727,0.00014915012489088,0.25,-2.06991366332011E-6,8.95342713948559E-5,-1.85114457249971E-6,5.006494,5.007205,2651.88525390625,2711.86572265625,52.4926080945055,18.676567339279,3.0206037,0,0,0,4449,4.95585,2681.87548828125,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0068495,,,,
,15644083.315,5.00718235,2746.70190429687,9.18908490458549E-5,1.94389981076164E-7,1,0.999253354069792,40.0298881530762,2.00555616329822,15.6900031119585,0.000997792123249066,0.000149847499351745,0.25,-2.32827593530906E-6,9.13543749604689E-5,-2.10356161013606E-6,5.0071597,5.007205,2711.86572265625,2781.5380859375,52.7786841325441,18.671207761201,3.0510825,0,0,0,4449,4.9557,2746.70190429687,,,,,,,,,,,,,,,,,13.003003,,,,,,5.00718235,,,,
