[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3735608881.15859,05/16/2018,5:07 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC654,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM507,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,494,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB210,OVEN_SERIAL_NUMBER
INFO,01.06.24,OVEN_SOFTWARE_VERSION
INFO,593,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3735618987.198,300.000579833984,56883.923828125,-0.000165429631680794,8.14616155907982E-7,1,0.999253354069792,40.0298881530762,1.99674165858929,14.5600000396371,-0.00178318158605892,-0.00030927648689971,0.25,2.73082123844943E-7,-0.000165424975022984,1.64487131714604E-7,300,300,56863.6796875,56904.16796875,54.8077917684673,19.7239393802474,46.7002563476562,0,0,0,40,300.448852539063,1,6,1,2.14950561523438,43.49951171875,,,,,,,,,,,,,,,,
,3735618988.156,299.999877929687,56934.455078125,-0.0001672143919658,1.07744220764557E-6,1,0.999253354069792,40.0298881530762,1.99674201982315,14.5600000396371,-0.00179964586506336,-0.000328452825453951,0.25,-1.19387188955318E-6,-0.000167208724441386,-1.30359449092279E-6,300.001159667969,300.001159667969,56909.109375,56959.80078125,54.7960673406789,19.7220424304323,46.7437019348145,0,0,0,40,300.451049804687,1,6,1,2.16354370117187,43.0107536315918,,,,,,,,,,,,,,,,
,3735618989.187,299.999572753906,56985.09375,-0.000166367579978676,7.5889580098159E-7,1,0.999253354069792,40.0298881530762,1.99675632632957,14.5600000396371,-0.00179135930079977,-0.000322138105821853,0.25,-7.5598170790093E-7,-0.000166362226502629,-8.65160058293207E-7,299.998596191406,299.998596191406,56959.80078125,57010.38671875,54.7663654569481,19.7260051405595,46.7401962280273,0,0,0,40,300.448516845703,1,6,1,2.1484375,43.0107536315918,,,,,,,,,,,,,,,,
,3735618990.3355,300.000091552734,57040.705078125,-0.000164436918129056,8.19947224014761E-7,1,0.999253354069792,40.0298881530762,1.99680608570608,14.5600000396371,-0.00177255286427124,-0.000307330521740229,0.25,2.80671672727606E-7,-0.000164432298622336,1.7273197848202E-7,300.000946044922,300.000946044922,57025.5390625,57055.87109375,54.9484849019289,19.7240178801704,46.7350692749023,0,0,0,40,300.449127197266,1,6,1,2.16140747070313,43.9882698059082,,,,,,,,,,,,,,,,
,3735618991.14,300.000091552734,57081.111328125,-0.000166795141660002,6.7581282209442E-7,1,0.999253354069792,40.0298881530762,1.99673999049863,14.5600000396371,-0.00179438988648316,-0.000331865850506799,0.25,-1.58405924510714E-6,-0.000166789229414226,-1.69349125827729E-6,299.999237060547,299.999237060547,57055.87109375,57106.3515625,54.7147779746789,19.7228936372578,46.7472114562988,0,0,0,40,300.448913574219,1,6,1,2.16461181640625,43.0107536315918,,,,,,,,,,,,,,,,
,3735618992.146,300.001251220703,57131.61328125,-0.000167364580024296,8.40436114426125E-7,1,0.999253354069792,40.0298881530762,1.99673488711421,14.5600000396371,-0.00180314312094399,-0.000317972260528341,0.25,-1.95089380659055E-7,-0.000167359556191319,-3.04933871091371E-7,300.000946044922,300.000946044922,57106.3515625,57156.875,54.7757449991789,19.7245123367939,46.73291015625,0,0,0,40,300.447021484375,1,6,1,2.16262817382813,43.49951171875,,,,,,,,,,,,,,,,
,3735618993.158,300.000778198242,57184.69921875,-0.000166945353108791,8.51132887247703E-7,1,0.999253354069792,40.0298881530762,1.99673873787063,14.5600000396371,-0.00179901730569455,-0.000314963875910796,0.25,1.07153703745879E-8,-0.000166940479489716,-9.88587693733253E-8,300.001556396484,300.001556396484,57156.875,57212.5234375,54.7116514606019,19.7248306581843,46.7356071472168,0,0,0,40,300.449615478516,1,6,1,2.16567993164062,44.4770278930664,,,,,,,,,,,,,,,,
,3735618994.275,300.000854492188,57242.923828125,-0.000166967102102129,8.20032052541388E-7,1,0.999253354069792,40.0298881530762,1.99672509120183,14.5600000396371,-0.00179909099875849,-0.000315853496123059,0.25,-6.82235427501151E-8,-0.000166962175732351,-1.77808065384068E-7,300.000854492188,300.000854492188,57227.7890625,57258.05859375,54.772618485102,19.7243060528238,46.738037109375,0,0,0,40,300.449249267578,1,6,1,2.16506958007813,43.0107536315918,,,,,,,,,,,,,,,,
,3735618995.153,300.001388549805,57288.392578125,-0.000167452659522493,8.05119568051541E-7,1,0.999253354069792,40.0298881530762,1.99681183502868,14.5600000396371,-0.00180481249914528,-0.000314415199387528,0.25,1.51494411948684E-7,-0.000167447860164834,4.15862198142682E-8,300.000854492188,300.000854492188,57263.10546875,57313.6796875,54.8734485640827,19.7258664599147,46.7393836975098,0,0,0,40,300.449066162109,1,6,1,2.1612548828125,42.0332374572754,,,,,,,,,,,,,,,,
,3735618996.294,300.001907348633,57343.962890625,-0.000167809523448101,7.19764841992714E-7,1,0.999253354069792,40.0298881530762,1.99669954987833,14.5600000396371,-0.00180794802405372,-0.000318574411298388,0.25,-1.73544391608502E-7,-0.000167804497427912,-2.83675578289153E-7,300.001861572266,300.001861572266,57328.78515625,57359.140625,54.6280172090442,19.7239038121745,46.7331771850586,0,0,0,40,300.448699951172,1,6,1,2.1649169921875,43.49951171875,,,,,,,,,,,,,,,,
