#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: dd147_stabledry_2-Hys-00.VHD
#Save data to file: dd147_stabledry_2.xye
#Extraction performed at: Fri Oct 14 13:35:57 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14997.0	1.0
#15246.0	1.000145
#15496.0	1.000446
#15746.0	1.000592
#15995.0	1.000892
#16246.0	1.001261
#16495.0	1.001631
#16745.0	1.002
#16995.0	1.002448
#17245.0	1.002965
#17495.0	1.003491
#17745.0	1.004009
#17994.0	1.004605
#18244.0	1.005202
#18494.0	1.006025
#18744.0	1.006702
#18994.0	1.007597

#Substracted file: dd147_stabledry_2.xye
#Using Slope: -1.301
#BG Scalefactor: 1
#BG Sigma Slope: 0.0
#B / T	M_sub / memu	sM_sub / memu	M_extracted / memu	sM_extracted / memu	M_raw / memu	sM_raw / memu
0.0049	1.7869299	0.005	1.780555	0.005	1.780555	0.005
0.0074	2.4128484	0.005	2.403221	0.005	2.403221	0.005
0.0099	2.9218399	0.005	2.90896	0.005	2.90896	0.005
0.0124	3.3461904	0.005	3.330058	0.005	3.330058	0.005
0.0149	3.7115669	0.005	3.692182	0.005	3.692182	0.005
0.0174	4.0238824	0.005	4.001245	0.005	4.001245	0.005
0.0199	4.3033889	0.005	4.277499	0.005	4.277499	0.005
0.0224	4.5468554	0.005	4.517713	0.005	4.517713	0.005
0.0249	4.7655439	0.005	4.733149	0.005	4.733149	0.005
0.0274	4.9644254	0.005	4.928778	0.005	4.928778	0.005
0.0299	5.1445459	0.005	5.105646	0.005	5.105646	0.005
0.0324	5.3121004	0.005	5.269948	0.005	5.269948	0.005
0.0349	5.4629929	0.005	5.417588	0.005	5.417588	0.005
0.0374	5.6049824	0.005	5.556325	0.005	5.556325	0.005
0.0399	5.7363249	0.005	5.684415	0.005	5.684415	0.005
0.0424	5.8560654	0.005	5.800903	0.005	5.800903	0.005
0.0449	5.9692699	0.005	5.910855	0.005	5.910855	0.005
0.0474	6.0774914	0.005	6.015824	0.005	6.015824	0.005
0.0499	6.1745279	0.005	6.109608	0.005	6.109608	0.005
0.0524	6.2686374	0.005	6.200465	0.005	6.200465	0.005
0.0549	6.3562579	0.005	6.284833	0.005	6.284833	0.005
0.0574	6.4409974	0.005	6.36632	0.005	6.36632	0.005
0.0599	6.5169429	0.005	6.439013	0.005	6.439013	0.005
0.0624	6.5951354	0.005	6.513953	0.005	6.513953	0.005
0.0648	6.6646728	0.005	6.580368	0.005	6.580368	0.005
0.0673	6.7304753	0.005	6.642918	0.005	6.642918	0.005
0.0698	6.7989248	0.005	6.708115	0.005	6.708115	0.005
0.0724	6.8556174	0.005	6.761425	0.005	6.761425	0.005
0.0749	6.9160919	0.005	6.818647	0.005	6.818647	0.005
0.0774	6.9744104	0.005	6.873713	0.005	6.873713	0.005
0.0799	7.0262649	0.005	6.922315	0.005	6.922315	0.005
0.0824	7.0763744	0.005	6.969172	0.005	6.969172	0.005
0.0849	7.1227369	0.005	7.012282	0.005	7.012282	0.005
0.0874	7.1708554	0.005	7.057148	0.005	7.057148	0.005
0.0899	7.2174509	0.005	7.100491	0.005	7.100491	0.005
0.0924	7.2573604	0.005	7.137148	0.005	7.137148	0.005
0.0949	7.2965669	0.005	7.173102	0.005	7.173102	0.005
0.0974	7.3398834	0.005	7.213166	0.005	7.213166	0.005
0.0999	7.3775199	0.005	7.24755	0.005	7.24755	0.005
0.1499	7.9087749	0.005	7.713755	0.005	7.713755	0.005
0.1999	8.1959769	0.005	7.935907	0.005	7.935907	0.005
0.2499	8.3806579	0.005	8.055538	0.005	8.055538	0.005
0.2999	8.5080119	0.005	8.117842	0.005	8.117842	0.005
0.3499	8.6129269	0.005	8.157707	0.005	8.157707	0.005
0.3999	8.6908949	0.005	8.170625	0.005	8.170625	0.005
0.4499	8.7577949	0.005	8.172475	0.005	8.172475	0.005
0.4999	8.8196009	0.005	8.169231	0.005	8.169231	0.005
0.5499	8.8690399	0.005	8.15362	0.005	8.15362	0.005
0.5999	8.9205639	0.005	8.140094	0.005	8.140094	0.005
0.6499	8.9751439	0.005	8.129624	0.005	8.129624	0.005
0.6999	9.0118289	0.005	8.101259	0.005	8.101259	0.005
0.75	9.049171	0.005	8.073421	0.005	8.073421	0.005
0.8	9.08369	0.005	8.04289	0.005	8.04289	0.005
