#Extracted data using VSM extraction tool v1.1 
#Loaded parameter file: extractVSM.dat
#Desired unit of B: T
#Desired unit of M: memu
#Reading column for B: Applied Field
#Reading column for M: Raw Signal Mx
#Estimate noise level: 5e-3 memu
#Loading data from file: DD67-Hys-00.VHD
#Save data to file: DD67.xye
#Extraction performed at: Fri Nov 18 16:38:45 2016
#Unit of B in data: Oe
#Changing unit by multiplying with factor: 0.0001
#Unit of M in data: memu
#Applied image correction factors to M by linear interpolation of following values
#14999.0	1.0
#15247.0	1.000145
#15498.0	1.000209
#15748.0	1.000417
#15998.0	1.000699
#16248.0	1.001107
#16497.0	1.001462
#16747.0	1.001735
#16997.0	1.002153
#17247.0	1.002709
#17497.0	1.003192
#17747.0	1.003685
#17996.0	1.004307
#18246.0	1.004801
#18495.0	1.005497
#18746.0	1.006341
#18995.0	1.007251

#Substracted file: DD67.xye
#Using Slope: -1.4515
#Rescaled file: DD67_BGLinSub.xy
#Rescale Factor: 0.12335
#Sigma Scalefactor: 0.0
#B / T	M_scaled / kA\,m^{-1}	sM_scaled / kA\,m^{-1}	M_prescaling / memu	sM_prescaling / memu	M_raw / memu	sM_raw / memu
-0.7998	-48.3022269964	-0.0405350628293	-5.9580797	0.005	-4.79717	0.005
-0.8498	-49.7455995136	-0.0405350628293	-6.1361197	0.005	-4.902635	0.005
-0.8998	-51.0109663559	-0.0405350628293	-6.2922027	0.005	-4.986143	0.005
-0.9498	-52.3762602351	-0.0405350628293	-6.4606117	0.005	-5.081977	0.005
-0.9998	-53.9321418727	-0.0405350628293	-6.6525297	0.005	-5.20132	0.005
-1.0998	-56.0102042967	-0.0405350628293	-6.9088587	0.005	-5.312499	0.005
-1.1997	-58.1221690312	-0.0405350628293	-7.16936955	0.005	-5.428005	0.005
-1.2998	-60.4834025132	-0.0405350628293	-7.4606277	0.005	-5.573968	0.005
-1.3997	-63.3225905959	-0.0405350628293	-7.81084155	0.005	-5.779177	0.005
-1.4997	-64.9990316173	-0.0405350628293	-8.01763055	0.005	-5.840816	0.005
-1.5996	-67.0134914313	-0.0405350628293	-8.26611416805	0.005	-5.940156	0.005
-1.6997	-68.8842621091	-0.0405350628293	-8.49687373116	0.005	-6.016805	0.005
-1.7997	-70.0556410888	-0.0405350628293	-8.6413633283	0.005	-6.003231	0.005
