#Loaded datafile ../../AH11_HYST_100OE_10K.DAT
#Rescaled data with factor 0.11252542287218859
#B/T	M/kAm-1	sM/kAm-1
-1.74734404296875	-499.7285823143659	0.00011792907730848871
-1.741347265625	-499.6007104286738	9.940037461372909e-05
-1.73582568359375	-499.125894161459	0.00010438710961748257
-1.73034169921875	-498.8230889138131	0.00011008432351973575
-1.72411171875	-498.42700541190067	0.00013330378729151226
-1.7185919921875	-498.11009166494296	0.00011684588725055434
-1.70907841796875	-497.50387711913135	0.00012529043861585575
-1.70183212890625	-496.88806023618923	0.0001253210093630276
-1.69834345703125	-496.77731719256167	0.0001007941727712781
-1.69235810546875	-496.10243779450786	0.00011913360312197115
-1.6868486328125	-495.73265411151317	0.00011726482972045572
-1.681097265625	-495.62196964355815	0.00012131919752570468
-1.6748638671875	-495.0207778406233	0.00011945897319891212
-1.6693611328125	-494.85684701123864	0.00011762879698099813
-1.66412236328125	-494.39172879573914	0.00011171564736591438
-1.65889501953125	-494.0056533460134	0.00012283063285434953
-1.65366220703125	-493.67217896446607	0.00010136750039858698
-1.64790517578125	-493.3573055483996	0.00010366506616493764
-1.642648828125	-492.66068942678476	0.00011304625044673659
-1.63715400390625	-492.424326019547	9.324454627625861e-05
-1.63090805664062	-492.09527032327975	9.644139032246628e-05
-1.6249064453125	-491.55005062347306	0.00011487594955945356
-1.61914873046875	-491.1726589888162	9.843620685772786e-05
-1.61315517578125	-490.89470092833795	9.220123500318563e-05
-1.60291137695313	-490.1264558209946	9.364914507382955e-05
-1.59992153320313	-489.8633169247532	9.848937225319685e-05
-1.59442548828125	-489.43183454946865	9.137591627441943e-05
-1.58866557617188	-489.1661647235707	9.326561111650531e-05
-1.58291123046875	-488.3627402664771	8.588031586305694e-05
-1.57717299804687	-488.1781201532208	0.00010536291374921034
-1.57142475585938	-487.8289606111106	9.378214704426877e-05
-1.56568706054687	-487.35344401163115	0.00010561688753895986
-1.560441796875	-487.1160585148666	9.286365041548762e-05
-1.5549427246093799	-486.7205455353474	9.437758474887087e-05
-1.54869951171875	-486.36921283794214	0.00010931523969968094
-1.54344995117188	-486.05436348423785	8.618732043278237e-05
-1.53795087890625	-485.3376604140845	0.00011353136631366746
-1.5319749511718799	-484.911069751761	9.180573628517268e-05
-1.52647451171875	-484.85644694157025	8.095313949931688e-05
-1.52071171875	-484.3106797576589	0.00011555497651442725
-1.51473364257813	-484.026174223199	0.0001285934909846122
